unix_time,frontend_0_100,sent_0_100,vjoy_axis,sim_connect
1778446040.833072,79.016075,79.016075,,0.0
1778446040.974648,79.844279,79.844279,,0.0
1778446041.236112,80.793387,80.793387,,0.0
1778446041.287759,81.757711,81.757711,,0.0
1778446041.335658,82.707751,82.707751,,0.0
1778446041.391542,83.803336,83.803336,,0.0
1778446041.505592,84.859387,84.859387,,0.0
1778446041.506093,85.794496,85.794496,,0.0
1778446041.563888,86.644011,86.644011,,0.0
1778446041.640577,87.738559,87.738559,,0.0
1778446041.687972,88.879611,88.879611,,0.0
1778446041.734042,89.746371,89.746371,,0.0
1778446041.758126,90.69959,90.69959,,0.0
1778446041.798530,91.575762,91.575762,,0.0
1778446041.835123,92.677758,92.677758,,0.0
1778446041.876262,93.533656,93.533656,,0.0
1778446042.036150,94.675607,94.675607,,0.0
1778446042.037155,96.578299,96.578299,,0.0
1778446042.037662,95.757976,95.757976,,0.0
1778446042.106589,97.447641,97.447641,,0.0
1778446042.186909,98.259482,98.259482,,0.0
1778446042.333266,99.086797,99.086797,,0.0
1778446042.841005,99.897883,99.897883,,0.0
1778446046.482149,98.95,98.95,,0.0
1778446046.483156,96.226,96.226,,0.0
1778446046.483657,76.410925,76.410925,,0.0
1778446046.484155,91.17888,91.17888,,0.0
1778446046.484155,84.387414,84.387414,,0.0
1778446046.485158,67.391614,67.391614,,0.0
1778446046.646456,59.30462,59.30462,,0.0
1778446046.647460,45.925498,45.925498,,0.0
1778446046.647963,52.188066,52.188066,,0.0
1778446046.757311,40.414438,40.414438,,0.0
1778446046.758315,31.296941,31.296941,,0.0
1778446046.758816,35.564705,35.564705,,0.0
1778446046.758816,27.541308,27.541308,,0.0
1778446046.836004,21.327989,21.327989,,0.0
1778446046.836510,24.236351,24.236351,,0.0
1778446046.934213,14.534427,14.534427,,0.0
1778446046.938251,16.516395,16.516395,,0.0
1778446046.939258,18.76863,18.76863,,0.0
1778446047.042751,12.790296,12.790296,,0.0
1778446047.042751,11.25546,11.25546,,0.0
1778446047.045374,9.904805,9.904805,,0.0
1778446047.126350,8.716229,8.716229,,0.0
1778446047.126849,7.670281,7.670281,,0.0
1778446047.127350,6.749847,6.749847,,0.0
1778446047.307579,2.758498,2.758498,,0.0
1778446047.308076,5.939866,5.939866,,0.0
1778446047.308076,4.599832,4.599832,,0.0
1778446047.309171,3.56211,3.56211,,0.0
1778446047.309676,1.879839,1.879839,,0.0
1778446047.310176,0.992051,0.992051,,0.0
1778446047.489947,0.0,0.0,,0.0
1778446047.490445,0.188282,0.188282,,0.0
1778446168.427796,3.73008,3.73008,,1.0
1778446168.428297,1.966,1.966,,1.0
1778446168.430304,6.13247,6.13247,,1.0
1778446168.464479,9.246574,9.246574,,1.0
1778446168.468870,12.986985,12.986985,,1.0
1778446168.502139,17.328547,17.328547,,1.0
1778446168.504722,22.199121,22.199121,,1.0
1778446168.528914,27.485227,27.485227,,1.0
1778446168.535980,33.036999,33.036999,,1.0
1778446168.560126,38.72256,38.72256,,1.0
1778446168.564137,44.475852,44.475852,,1.0
1778446168.598533,50.23875,50.23875,,1.0
1778446168.605556,56.0101,56.0101,,1.0
1778446168.626986,61.288888,61.288888,,1.0
1778446168.631058,65.934222,65.934222,,1.0
1778446168.667092,70.022115,70.022115,,1.0
1778446168.669596,73.619461,73.619461,,1.0
1778446168.711054,79.570911,79.570911,,1.0
1778446168.711556,76.785126,76.785126,,1.0
1778446168.713572,82.022401,82.022401,,1.0
1778446168.743243,84.179713,84.179713,,1.0
1778446168.752275,86.078148,86.078148,,1.0
1778446168.779548,87.74877,87.74877,,1.0
1778446168.891335,89.218918,89.218918,,1.0
1778446168.923877,94.993221,94.993221,,1.0
1778446168.925385,96.122751,96.122751,,1.0
1778446168.926386,92.652994,92.652994,,1.0
1778446168.926886,90.512647,90.512647,,1.0
1778446168.927886,93.534635,93.534635,,1.0
1778446168.928387,91.65113,91.65113,,1.0
1778446168.991691,96.997458,96.997458,,1.0
1778446169.021082,97.953852,97.953852,,1.0
1778446169.082378,98.772934,98.772934,,1.0
1778446169.256727,99.61166,99.61166,,1.0
1778446169.494827,91.228,91.228,,1.0
1778446169.495827,96.85,96.85,,1.0
1778446169.529229,83.93064,83.93064,,1.0
1778446169.530233,75.358963,75.358963,,1.0
1778446169.537752,66.315888,66.315888,,1.0
1778446169.563043,58.357981,58.357981,,1.0
1778446169.569712,51.355023,51.355023,,1.0
1778446169.601417,45.192421,45.192421,,1.0
1778446169.606579,39.76933,39.76933,,1.0
1778446169.639755,34.99701,34.99701,,1.0
1778446169.641263,30.797369,30.797369,,1.0
1778446169.648793,27.101685,27.101685,,1.0
1778446169.692662,23.849483,23.849483,,1.0
1778446169.697673,20.987545,20.987545,,1.0
1778446169.752779,18.469039,18.469039,,1.0
1778446169.753277,14.302424,14.302424,,1.0
1778446169.754278,12.586133,12.586133,,1.0
1778446169.754779,16.252755,16.252755,,1.0
1778446169.797012,9.746702,9.746702,,1.0
1778446169.804553,11.075797,11.075797,,1.0
1778446169.811609,8.577097,8.577097,,1.0
1778446169.828775,7.547846,7.547846,,1.0
1778446169.954418,3.983239,3.983239,,1.0
1778446169.954921,6.642104,6.642104,,1.0
1778446169.955419,5.143646,5.143646,,1.0
1778446169.955919,3.08462,3.08462,,1.0
1778446170.004872,2.102082,2.102082,,1.0
1778446170.074334,1.260609,1.260609,,1.0
1778446170.197111,0.453359,0.453359,,1.0
1778446170.483354,0.0,0.0,,1.0
1778446174.020599,1.2956,1.2956,,0.0
1778446174.030156,2.190128,2.190128,,0.0
1778446174.151238,4.246035,4.246035,,0.0
1778446174.151739,3.177313,3.177313,,0.0
1778446174.152240,6.73413,6.73413,,0.0
1778446174.152739,5.436511,5.436511,,0.0
1778446174.154243,8.126034,8.126034,,0.0
1778446174.155265,9.50091,9.50091,,0.0
1778446174.211681,14.279978,14.279978,,0.0
1778446174.212682,15.216381,15.216381,,0.0
1778446174.213185,10.810801,10.810801,,0.0
1778446174.214190,12.063505,12.063505,,0.0
1778446174.218203,13.215884,13.215884,,0.0
1778446174.224223,16.040415,16.040415,,0.0
1778446174.267612,17.403697,17.403697,,0.0
1778446174.310746,18.559423,18.559423,,0.0
1778446174.346393,19.830417,19.830417,,0.0
1778446174.354252,21.190675,21.190675,,0.0
1778446174.411167,22.620059,22.620059,,0.0
1778446174.432205,24.008974,24.008974,,0.0
1778446174.467083,25.410549,25.410549,,0.0
1778446174.500559,26.777929,26.777929,,0.0
1778446174.532771,28.262828,28.262828,,0.0
1778446174.674216,31.079602,31.079602,,0.0
