Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1021.0900,NA,13.86110000000000,13.20470000000000,0.00000000000000,0.22820000000000,12.1390,1007.2289,13.8611,13.8611,0.0000,0.1095,13.9798,0.3097,13.6701,0.3907,1007.2289,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,994.5321,NA,12.98820000000000,13.35170000000000,0.25290000000000,0.25830000000000,25.4922,981.7884,12.9966,12.7437,0.2529,12.8230,0.1790,0.1653,0.0137,13.5789,981.7884,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1049.0735,NA,27.98350000000000,26.78940000000000,0.00000000000000,0.01240000000000,10.9449,1021.0900,27.9835,27.9835,0.0000,0.2282,27.7677,0.1915,27.5762,-12.9283,1021.0900,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1063.0687,NA,13.99520000000000,13.21620000000000,0.00000000000000,0.13630000000000,10.1659,1049.0735,13.9952,13.9952,0.0000,0.0124,14.1191,0.2725,13.8466,14.7673,1049.0735,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,1048.3040,NA,53.77190000000000,53.21030000000000,0.23670000000000,0.24840000000000,24.9306,994.7850,53.7557,53.5190,0.2367,53.5945,0.1729,0.1676,0.0053,-40.2137,994.7850,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1074.0695,NA,11.00080000000000,13.46700000000000,0.00000000000000,0.02330000000000,12.6321,1063.0687,11.0008,11.0008,0.0000,0.1363,10.8878,0.1258,10.7620,0.5282,1063.0687,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1088.7446,NA,14.67510000000000,13.35340000000000,0.00000000000000,0.02370000000000,11.3104,1074.0695,14.6751,14.6751,0.0000,0.0233,14.6755,0.1203,14.5552,-2.3526,1074.0695,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,1087.9628,NA,39.65880000000000,26.82040000000000,0.27270000000000,0.38170000000000,12.0922,1048.5407,39.6948,39.4221,0.2727,39.5011,0.3027,0.2975,0.0052,26.9353,1048.5407,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1100.9779,NA,12.23330000000000,13.32970000000000,0.00000000000000,0.03120000000000,12.4068,1088.7446,12.2333,12.2333,0.0000,0.0237,12.2408,0.1673,12.0735,1.3454,1088.7446,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,1115.2227,NA,27.25990000000000,26.64480000000000,0.26710000000000,0.79310000000000,11.4771,1088.2355,27.2543,26.9872,0.2671,27.0629,0.7174,0.7114,0.0060,13.0500,1088.2355,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1116.4290,NA,15.45110000000000,13.31510000000000,0.00000000000000,0.02980000000000,10.2708,1100.9779,15.4511,15.4511,0.0000,0.0312,15.4497,0.1310,15.3187,-1.0818,1100.9779,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1129.2579,NA,12.82890000000000,13.32720000000000,0.00000000000000,0.02050000000000,10.7691,1116.4290,12.8289,12.8289,0.0000,0.0298,12.8196,0.1401,12.6795,2.1239,1116.4290,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1140.9227,NA,11.66480000000000,13.35090000000000,0.00000000000000,0.02430000000000,12.4552,1129.2579,11.6648,11.6648,0.0000,0.0205,11.6686,0.1206,11.5480,-0.5220,1129.2579,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,1128.5330,NA,13.31030000000000,13.32720000000000,0.28620000000000,0.30820000000000,11.4940,1115.4898,13.3294,13.0432,0.2862,13.1072,0.2442,0.2391,0.0051,13.9271,1115.4898,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1167.8501,NA,26.92740000000000,26.70730000000000,0.00000000000000,0.01970000000000,12.2351,1140.9227,26.9274,26.9274,0.0000,0.0243,26.9228,0.1168,26.8060,-15.0425,1140.9227,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1181.0417,NA,13.19160000000000,13.33240000000000,0.00000000000000,0.15950000000000,12.3759,1167.8501,13.1916,13.1916,0.0000,0.0197,13.3314,0.2776,13.0538,13.5950,1167.8501,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1194.7078,NA,13.66610000000000,13.24360000000000,0.00000000000000,0.04090000000000,11.9534,1181.0417,13.6661,13.6661,0.0000,0.1595,13.5475,0.1425,13.4050,-0.0520,1181.0417,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1236.4059,NA,41.69810000000000,39.99940000000000,0.00000000000000,0.09630000000000,10.2547,1194.7078,41.6981,41.6981,0.0000,0.0409,41.7535,0.2278,41.5257,-26.3333,1194.7078,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1261.0986,NA,24.69270000000000,26.73990000000000,0.00000000000000,0.02520000000000,12.3019,1236.4059,24.6927,24.6927,0.0000,0.0963,24.6216,0.1602,24.4614,14.9582,1236.4059,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1287.6998,NA,26.60120000000000,26.64880000000000,0.00000000000000,0.00740000000000,12.3495,1261.0986,26.6012,26.6012,0.0000,0.0252,26.5834,0.1669,26.4165,-1.9561,1261.0986,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1314.2932,NA,26.59340000000000,26.71980000000000,0.00000000000000,0.02820000000000,12.4759,1287.6998,26.5934,26.5934,0.0000,0.0074,26.6142,0.1383,26.4759,-0.1186,1287.6998,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,1168.3638,NA,39.83080000000000,53.39060000000000,0.25430000000000,0.25150000000000,25.0538,1128.8192,39.7989,39.5446,0.2543,39.6203,0.1758,0.1534,0.0224,-40.0612,1128.8192,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1354.4665,NA,40.17330000000000,40.04400000000000,0.00000000000000,0.05180000000000,12.3466,1314.2932,40.1733,40.1733,0.0000,0.0282,40.1969,0.1805,40.0164,-13.4506,1314.2932,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1368.4693,NA,14.00280000000000,13.30560000000000,0.00000000000000,0.16190000000000,11.6494,1354.4665,14.0028,14.0028,0.0000,0.0518,14.1129,0.2942,13.8187,26.8677,1354.4665,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1382.3734,NA,13.90410000000000,13.34000000000000,0.00000000000000,0.03110000000000,11.0853,1368.4693,13.9041,13.9041,0.0000,0.1619,13.7733,0.1374,13.6359,0.6628,1368.4693,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1407.6809,NA,25.30750000000000,26.67810000000000,0.00000000000000,0.03280000000000,12.4559,1382.3734,25.3075,25.3075,0.0000,0.0311,25.3092,0.1280,25.1812,-12.7740,1382.3734,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1447.6815,NA,40.00060000000000,40.00280000000000,0.00000000000000,0.02530000000000,12.4581,1407.6809,40.0006,40.0006,0.0000,0.0328,39.9931,0.1446,39.8485,-14.6953,1407.6809,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,1356.2408,NA,187.87700000000001,186.70110000000000,0.35690000000000,0.33440000000000,23.8779,1168.6181,187.9796,187.6227,0.3569,187.7318,0.2253,0.2180,0.0073,-146.9022,1168.6181,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1474.3299,NA,26.64840000000000,26.68020000000000,0.00000000000000,0.02410000000000,12.4899,1447.6815,26.6484,26.6484,0.0000,0.0253,26.6472,0.1500,26.4972,13.3204,1447.6815,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1486.9302,NA,12.60030000000000,13.44990000000000,0.00000000000000,0.08310000000000,13.3395,1474.3299,12.6003,12.6003,0.0000,0.0241,12.6593,0.3284,12.3309,13.1985,1474.3299,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1501.4133,NA,14.48310000000000,13.23780000000000,0.00000000000000,0.12970000000000,12.0942,1486.9302,14.4831,14.4831,0.0000,0.0831,14.5297,0.3063,14.2234,-0.6375,1486.9302,NA,NA,NA
